time,x,y,Q,dist,pan,tilt
1770614054.2832143,10.86401,94.49035,1180.844,39,45,120
1770614054.2832282,10.86401,94.49035,1180.844,61,65,120
1770614054.2832425,10.86401,94.49035,1180.844,45,85,120
1770614054.283256,10.86401,94.49035,1180.844,38,105,120
1770614054.2832696,10.86401,94.49035,1180.844,38,125,120
1770614054.2832837,10.86401,94.49035,1180.844,37,145,120
1770614058.9521098,10.86401,94.49035,1180.844,101,25,60
1770614058.9521616,10.86401,94.49035,1180.844,89,45,60
1770614058.9521778,10.86401,94.49035,1180.844,100,65,60
1770614058.952192,10.86401,94.49035,1180.844,58,85,60
1770614058.9522064,10.86401,94.49035,1180.844,51,105,60
1770614058.9522212,10.86401,94.49035,1180.844,121,125,60
1770614058.9522352,10.86401,94.49035,1180.844,38,145,60
1770614058.952249,10.86401,94.49035,1180.844,52,25,90
1770614058.9522629,10.86401,94.49035,1180.844,39,45,90
1770614058.952277,10.86401,94.49035,1180.844,38,65,90
1770614058.9522908,10.86401,94.49035,1180.844,44,85,90
1770614058.9523044,10.86401,94.49035,1180.844,48,105,90
1770614058.9523184,10.86401,94.49035,1180.844,39,125,90
1770614058.9523325,10.86401,94.49035,1180.844,34,145,90
1770614058.9523463,10.86401,94.49035,1180.844,40,25,120
1770614058.9523604,10.86401,94.49035,1180.844,39,45,120
1770614058.9523742,10.86401,94.49035,1180.844,51,65,120
1770614058.9523914,10.86401,94.49035,1180.844,46,85,120
1770614058.9524057,10.86401,94.49035,1180.844,38,105,120
1770614058.95242,10.86401,94.49035,1180.844,38,125,120
1770614058.9524336,10.86401,94.49035,1180.844,38,145,120
1770614063.3338654,10.86401,94.49035,1180.844,58,25,60
1770614063.3338985,10.86401,94.49035,1180.844,91,45,60
1770614063.333912,10.86401,94.49035,1180.844,101,65,60
1770614063.3339238,10.86401,94.49035,1180.844,58,85,60
1770614063.333935,10.86401,94.49035,1180.844,51,105,60
1770614063.3339465,10.86401,94.49035,1180.844,110,125,60
1770614063.3339581,10.86401,94.49035,1180.844,38,145,60
1770614063.3339694,10.86401,94.49035,1180.844,44,25,90
1770614063.333979,10.86401,94.49035,1180.844,39,45,90
1770614063.3339882,10.86401,94.49035,1180.844,38,65,90
1770614063.334034,10.86401,94.49035,1180.844,47,85,90
1770614063.3340492,10.86401,94.49035,1180.844,41,105,90
1770614063.334061,10.86401,94.49035,1180.844,39,125,90
1770614063.334079,10.86401,94.49035,1180.844,34,145,90
1770614063.3340938,10.86401,94.49035,1180.844,42,25,120
1770614063.3341079,10.86401,94.49035,1180.844,37,45,120
1770614063.3341222,10.86401,94.49035,1180.844,60,65,120
1770614063.3341362,10.86401,94.49035,1180.844,46,85,120
1770614063.3341506,10.86401,94.49035,1180.844,38,105,120
1770614063.334165,10.86401,94.49035,1180.844,38,125,120
1770614063.3341784,10.86401,94.49035,1180.844,37,145,120
1770614068.3161964,10.86401,94.49035,1180.844,58,25,60
1770614068.316228,10.86401,94.49035,1180.844,90,45,60
1770614068.3162444,10.86401,94.49035,1180.844,101,65,60
1770614068.31626,10.86401,94.49035,1180.844,58,85,60
1770614068.3162906,10.86401,94.49035,1180.844,51,105,60
1770614068.3163261,10.86401,94.49035,1180.844,104,125,60
1770614068.3163424,10.86401,94.49035,1180.844,38,145,60
1770614068.3163571,10.86401,94.49035,1180.844,44,25,90
1770614068.316371,10.86401,94.49035,1180.844,40,45,90
1770614068.3163855,10.86401,94.49035,1180.844,39,65,90
1770614068.3163996,10.86401,94.49035,1180.844,44,85,90
1770614068.3164134,10.86401,94.49035,1180.844,41,105,90
1770614068.3164275,10.86401,94.49035,1180.844,39,125,90
1770614068.316441,10.86401,94.49035,1180.844,34,145,90
1770614068.3164554,10.86401,94.49035,1180.844,45,25,120
1770614068.31647,10.86401,94.49035,1180.844,37,45,120
1770614068.3164835,10.86401,94.49035,1180.844,50,65,120
1770614068.3164978,10.86401,94.49035,1180.844,46,85,120
1770614068.316512,10.86401,94.49035,1180.844,38,105,120
1770614068.316526,10.86401,94.49035,1180.844,38,125,120
1770614068.31654,10.86401,94.49035,1180.844,37,145,120
1770614078.2808325,52.32156,87.77118,1070.996,84,25,60
1770614078.280862,52.32156,87.77118,1070.996,2,45,60
1770614078.2808778,52.32156,87.77118,1070.996,2,65,60
1770614078.2808926,52.32156,87.77118,1070.996,6,85,60
1770614078.2809062,52.32156,87.77118,1070.996,58,105,60
1770614078.2809207,52.32156,87.77118,1070.996,45,125,60
1770614078.280935,52.32156,87.77118,1070.996,44,145,60
1770614078.2809486,52.32156,87.77118,1070.996,2,25,90
1770614078.2809627,52.32156,87.77118,1070.996,2,45,90
1770614078.2809765,52.32156,87.77118,1070.996,2,65,90
1770614078.2809904,52.32156,87.77118,1070.996,2,85,90
1770614078.2810042,52.32156,87.77118,1070.996,27,105,90
1770614078.2810187,52.32156,87.77118,1070.996,20,125,90
1770614078.2810326,52.32156,87.77118,1070.996,18,145,90
1770614078.2810466,52.32156,87.77118,1070.996,4,25,120
1770614078.28106,52.32156,87.77118,1070.996,2,45,120
1770614078.2810733,52.32156,87.77118,1070.996,3,65,120
1770614078.2810874,52.32156,87.77118,1070.996,4,85,120
1770614078.281101,52.32156,87.77118,1070.996,40,105,120
1770614078.281115,52.32156,87.77118,1070.996,21,125,120
1770614078.281129,52.32156,87.77118,1070.996,20,145,120
1770614085.1519291,133.8648,74.5553,1070.996,82,25,60
1770614085.1519566,133.8648,74.5553,1070.996,5,45,60
1770614085.1519716,133.8648,74.5553,1070.996,4,65,60
1770614085.1519852,133.8648,74.5553,1070.996,83,85,60
1770614085.151997,133.8648,74.5553,1070.996,46,105,60
